North,
Player Position, (0.0747, 1.7775, 0.7951), (0.6455, 0.1618, -0.7464),
Player Position, (0.0741, 1.7775, 0.7957), (0.6459, 0.1620, -0.7460),
Player Position, (0.0709, 1.7764, 0.7979), (0.6456, 0.1490, -0.7490),
Player Position, (0.0703, 1.7760, 0.7985), (0.6456, 0.1465, -0.7495),
Player Position, (0.0677, 1.7752, 0.8005), (0.6471, 0.1356, -0.7502),
Player Position, (0.0673, 1.7750, 0.8006), (0.6459, 0.1313, -0.7521),
Player Position, (0.0631, 1.7734, 0.7991), (0.6118, 0.1055, -0.7839),
Player Position, (0.0618, 1.7733, 0.7984), (0.5956, 0.1057, -0.7963),
Player Position, (0.0427, 1.7726, 0.7887), (0.2938, 0.1012, -0.9505),
Player Position, (0.0378, 1.7720, 0.7873), (0.2095, 0.0948, -0.9732),
Player Position, (0.0219, 1.7688, 0.7843), (-0.0477, 0.0604, -0.9970),
Player Position, (0.0197, 1.7685, 0.7837), (-0.0838, 0.0563, -0.9949),
Player Position, (0.0058, 1.7686, 0.7823), (-0.3090, 0.0596, -0.9492),
Player Position, (0.0027, 1.7674, 0.7815), (-0.3580, 0.0490, -0.9325),
Player Position, (-0.0011, 1.7105, 0.7520), (-0.4051, -0.4630, -0.7884),
Player Position, (-0.0015, 1.7052, 0.7448), (-0.3952, -0.4743, -0.7867),
Player Position, (-0.0176, 1.7051, 0.6955), (-0.4351, -0.4354, -0.7881),
Player Position, (-0.0240, 1.7054, 0.6841), (-0.4434, -0.4273, -0.7879),
Player Position, (-0.0834, 1.7298, 0.6258), (-0.5932, -0.2111, -0.7769),
Player Position, (-0.0994, 1.7386, 0.6130), (-0.6271, -0.1721, -0.7597),
Player Position, (-0.1821, 1.7599, 0.5348), (-0.7306, -0.0300, -0.6822),
Player Position, (-0.1984, 1.7614, 0.5174), (-0.7489, -0.0114, -0.6626),
Player Position, (-0.2794, 1.7716, 0.4300), (-0.8071, 0.0413, -0.5889),
Player Position, (-0.2959, 1.7741, 0.4127), (-0.8203, 0.0575, -0.5690),
Player Position, (-0.3829, 1.7705, 0.3239), (-0.8919, 0.1236, -0.4351),
Player Position, (-0.4008, 1.7687, 0.3062), (-0.9050, 0.1410, -0.4013),
Player Position, (-0.4829, 1.7857, 0.2332), (-0.9482, 0.2113, -0.2371),
Player Position, (-0.4971, 1.7918, 0.2234), (-0.9524, 0.2207, -0.2105),
Player Position, (-0.5434, 1.8066, 0.1970), (-0.9653, 0.2432, -0.0951),
Player Position, (-0.5482, 1.8061, 0.1941), (-0.9655, 0.2490, -0.0765),
Player Position, (-0.5602, 1.7968, 0.1856), (-0.9672, 0.2501, -0.0437),
Player Position, (-0.5617, 1.7941, 0.1843), (-0.9699, 0.2409, -0.0368),
Player Position, (-0.5686, 1.7903, 0.1780), (-0.9748, 0.2223, -0.0180),
Player Position, (-0.5694, 1.7904, 0.1773), (-0.9739, 0.2269, -0.0113),
Collect the Sphere,
Position: (-0.2000, 1.5000, -0.1000),
Player Position, (-0.5725, 1.7895, 0.1746), (-0.9754, 0.2205, 0.0059),
Player Position, (-0.5732, 1.7894, 0.1741), (-0.9759, 0.2180, 0.0048),
Player Position, (-0.5734, 1.7884, 0.1718), (-0.9795, 0.2012, 0.0041),
Player Position, (-0.5724, 1.7885, 0.1709), (-0.9799, 0.1994, 0.0050),
Player Position, (-0.5655, 1.7879, 0.1625), (-0.9805, 0.1953, -0.0229),
Player Position, (-0.5639, 1.7874, 0.1602), (-0.9813, 0.1899, -0.0317),
Player Position, (-0.5560, 1.7857, 0.1478), (-0.9809, 0.1745, -0.0858),
Player Position, (-0.5551, 1.7853, 0.1447), (-0.9795, 0.1711, -0.1064),
Player Position, (-0.5544, 1.7812, 0.1269), (-0.9365, 0.1441, -0.3197),
Player Position, (-0.5549, 1.7815, 0.1241), (-0.9168, 0.1378, -0.3748),
Player Position, (-0.5577, 1.7820, 0.1121), (-0.7222, 0.1042, -0.6838),
Player Position, (-0.5567, 1.7820, 0.1085), (-0.6523, 0.0932, -0.7522),
Player Position, (-0.5401, 1.7731, 0.0977), (-0.2134, -0.0068, -0.9769),
Player Position, (-0.5367, 1.7726, 0.0977), (-0.1392, -0.0105, -0.9902),
Player Position, (-0.5264, 1.7697, 0.1022), (0.0672, -0.0113, -0.9977),
Player Position, (-0.5254, 1.7694, 0.1031), (0.0868, -0.0036, -0.9962),
Player Position, (-0.5223, 1.7710, 0.1049), (0.1663, 0.0104, -0.9860),
Player Position, (-0.5211, 1.7721, 0.1045), (0.1926, 0.0140, -0.9812),
Player Position, (-0.5062, 1.7708, 0.1061), (0.4158, -0.0551, -0.9078),
Player Position, (-0.5019, 1.7689, 0.1069), (0.4532, -0.0707, -0.8886),
