East,
Player Position, (-0.1681, 1.8440, 0.2513), (-0.9690, 0.0762, 0.2351),
Player Position, (-0.1659, 1.8434, 0.2510), (-0.9648, 0.0685, 0.2540),
Player Position, (-0.1633, 1.8439, 0.2494), (-0.9645, 0.0729, 0.2539),
Player Position, (-0.1571, 1.8447, 0.2558), (-0.9220, 0.0711, 0.3806),
Player Position, (-0.1521, 1.8461, 0.2614), (-0.8747, 0.0865, 0.4769),
Player Position, (-0.1515, 1.8485, 0.2596), (-0.8691, 0.1182, 0.4803),
Player Position, (-0.1531, 1.8484, 0.2562), (-0.8745, 0.1167, 0.4707),
Player Position, (-0.1561, 1.8479, 0.2543), (-0.8847, 0.1099, 0.4529),
Player Position, (-0.1594, 1.8474, 0.2523), (-0.9125, 0.1071, 0.3948),
Player Position, (-0.1640, 1.8473, 0.2463), (-0.9596, 0.1088, 0.2595),
Player Position, (-0.1667, 1.8466, 0.2347), (-0.9927, 0.1006, 0.0665),
Player Position, (-0.1660, 1.8483, 0.2496), (-0.9092, 0.0866, 0.4072),
Player Position, (-0.1574, 1.8444, 0.2790), (-0.5390, 0.0776, 0.8387),
Player Position, (-0.1281, 1.8379, 0.3199), (-0.1761, 0.0474, 0.9832),
Player Position, (-0.0913, 1.8366, 0.3480), (0.1524, 0.0544, 0.9868),
Player Position, (-0.0683, 1.8426, 0.3558), (0.3867, 0.0538, 0.9206),
Player Position, (-0.0571, 1.8446, 0.3485), (0.5465, 0.0407, 0.8364),
Player Position, (-0.0592, 1.8466, 0.3438), (0.5673, 0.0284, 0.8230),
Player Position, (-0.0543, 1.8448, 0.3464), (0.5495, 0.0174, 0.8353),
Player Position, (-0.0110, 1.8423, 0.3367), (0.4283, 0.0244, 0.9033),
Player Position, (0.0758, 1.8332, 0.3172), (0.2265, 0.0680, 0.9716),
Player Position, (0.1536, 1.8457, 0.3033), (0.1202, 0.0567, 0.9911),
Player Position, (0.1876, 1.8464, 0.2936), (0.0520, 0.0433, 0.9977),
Player Position, (0.1973, 1.8495, 0.2857), (0.0285, 0.0668, 0.9974),
Player Position, (0.1997, 1.8488, 0.2783), (0.0218, 0.0653, 0.9976),
Player Position, (0.1979, 1.8495, 0.2736), (0.0015, 0.0756, 0.9971),
Player Position, (0.1992, 1.8505, 0.2760), (-0.0117, 0.0922, 0.9957),
Player Position, (0.2022, 1.8507, 0.2858), (0.0061, 0.0952, 0.9954),
Player Position, (0.2032, 1.8506, 0.2936), (0.0364, 0.1028, 0.9940),
Player Position, (0.2017, 1.8509, 0.2990), (0.0216, 0.1124, 0.9934),
Player Position, (0.1989, 1.8504, 0.3043), (0.0102, 0.1147, 0.9934),
Player Position, (0.1936, 1.8481, 0.3124), (-0.0342, 0.0878, 0.9956),
Player Position, (0.1856, 1.8463, 0.3186), (-0.0744, 0.0728, 0.9946),
Player Position, (0.1809, 1.8456, 0.3227), (-0.0548, 0.0669, 0.9963),
Player Position, (0.1773, 1.8438, 0.3240), (-0.0288, 0.0565, 0.9980),
Player Position, (0.1740, 1.8502, 0.3178), (0.0103, 0.1278, 0.9917),
Player Position, (0.1532, 1.8511, 0.3197), (0.0307, 0.1602, 0.9866),
Player Position, (0.1028, 1.8465, 0.3316), (0.1297, 0.1406, 0.9815),
Player Position, (0.0268, 1.8433, 0.3488), (0.2363, 0.1054, 0.9659),
Player Position, (-0.0230, 1.8399, 0.3642), (0.3070, 0.0215, 0.9515),
Player Position, (-0.0364, 1.7998, 0.3877), (0.3940, -0.3986, 0.8282),
Player Position, (-0.0139, 1.7639, 0.3942), (0.4597, -0.6278, 0.6281),
