South,
Player Position, (0.1441, 1.9898, 0.5039), (0.6340, -0.3212, 0.7035),
Player Position, (0.1299, 1.9896, 0.5117), (0.5353, -0.3435, 0.7717),
Player Position, (0.1289, 1.9875, 0.5113), (0.4986, -0.3595, 0.7888),
Player Position, (0.1334, 1.9819, 0.5124), (0.4965, -0.3996, 0.7705),
Player Position, (0.1404, 1.9770, 0.5100), (0.5003, -0.4396, 0.7460),
Player Position, (0.1550, 1.9738, 0.4954), (0.6059, -0.4737, 0.6392),
Player Position, (0.1720, 1.9601, 0.4741), (0.6480, -0.5807, 0.4928),
Player Position, (0.1820, 1.9530, 0.4586), (0.6805, -0.6327, 0.3696),
Player Position, (0.1790, 1.9410, 0.4572), (0.6812, -0.6808, 0.2692),
Player Position, (0.1743, 1.9504, 0.4485), (0.7692, -0.6362, 0.0594),
Player Position, (0.1517, 1.9397, 0.4345), (0.7218, -0.6881, -0.0745),
Player Position, (0.1506, 1.9284, 0.4261), (0.6876, -0.7163, -0.1183),
Player Position, (0.1779, 1.9175, 0.4026), (0.6693, -0.7352, -0.1073),
Player Position, (0.2407, 1.9106, 0.3501), (0.6728, -0.7366, -0.0682),
Player Position, (0.3128, 1.9069, 0.2885), (0.6652, -0.7442, -0.0609),
Player Position, (0.3670, 1.9092, 0.2573), (0.6665, -0.7452, -0.0195),
Player Position, (0.4226, 1.9088, 0.2444), (0.6693, -0.7429, -0.0059),
Player Position, (0.4925, 1.8990, 0.2518), (0.6548, -0.7558, -0.0113),
Player Position, (0.5801, 1.8894, 0.2720), (0.6232, -0.7814, -0.0326),
Player Position, (0.6554, 1.8895, 0.2950), (0.6135, -0.7882, -0.0482),
Player Position, (0.7112, 1.8899, 0.3119), (0.6036, -0.7947, -0.0643),
Player Position, (0.7391, 1.9082, 0.3117), (0.6942, -0.7157, -0.0771),
Player Position, (0.7549, 1.9316, 0.2879), (0.7988, -0.5968, -0.0759),
Player Position, (0.7912, 1.9493, 0.2519), (0.8589, -0.5076, -0.0683),
Player Position, (0.8392, 1.9569, 0.2265), (0.8832, -0.4638, -0.0696),
Player Position, (0.8815, 1.9623, 0.2151), (0.8948, -0.4453, -0.0324),
Player Position, (0.9156, 1.9711, 0.2115), (0.9125, -0.4091, 0.0081),
Player Position, (0.9554, 1.9764, 0.2198), (0.9155, -0.4021, 0.0122),
Player Position, (0.9884, 1.9763, 0.2377), (0.9115, -0.4088, -0.0463),
Player Position, (1.0348, 1.9796, 0.2470), (0.9305, -0.3443, -0.1251),
Player Position, (1.0758, 2.0099, 0.2240), (0.9849, -0.0629, -0.1613),
Collect the Capsule,
Position: (-0.1500, 1.5000, 0.6500),
Player Position, (1.0930, 2.0142, 0.2036), (0.9927, -0.0728, -0.0962),
Player Position, (1.1200, 2.0127, 0.1808), (0.9955, -0.0781, -0.0537),
Player Position, (1.1421, 2.0080, 0.1644), (0.9932, -0.1132, -0.0263),
Player Position, (1.1520, 2.0035, 0.1548), (0.9890, -0.1466, -0.0177),
Player Position, (1.1603, 1.9987, 0.1483), (0.9846, -0.1745, -0.0071),
Player Position, (1.1664, 1.9961, 0.1431), (0.9815, -0.1910, -0.0149),
Player Position, (1.1647, 1.9933, 0.1397), (0.9760, -0.2166, -0.0219),
Player Position, (1.1490, 1.9924, 0.1190), (0.9587, -0.2347, -0.1608),
Player Position, (1.1127, 1.9908, 0.0864), (0.8723, -0.2542, -0.4178),
Player Position, (1.0688, 1.9924, 0.0664), (0.6828, -0.2665, -0.6803),
Player Position, (1.0225, 1.9953, 0.0798), (0.4706, -0.2649, -0.8417),
Player Position, (0.9815, 1.9923, 0.0980), (0.2656, -0.2764, -0.9236),
Player Position, (0.9287, 1.9891, 0.1043), (-0.0313, -0.2912, -0.9561),
Player Position, (0.8493, 1.9906, 0.1055), (-0.3319, -0.2786, -0.9012),
Player Position, (0.7469, 1.9961, 0.1024), (-0.5818, -0.2401, -0.7771),
Player Position, (0.6558, 1.9927, 0.1158), (-0.8123, -0.2363, -0.5332),
Player Position, (0.5979, 1.9916, 0.1343), (-0.9322, -0.2453, -0.2661),
Player Position, (0.5643, 1.9902, 0.1148), (-0.9245, -0.2686, -0.2704),
Player Position, (0.5714, 1.9952, 0.0584), (-0.7241, -0.2437, -0.6452),
Player Position, (0.6777, 2.0029, 0.0279), (0.0790, -0.1705, -0.9822),
