North,
Player Position, (-0.1984, 1.8928, 0.0268), (-0.0866, -0.0209, 0.9960),
Player Position, (-0.1981, 1.8929, 0.0266), (-0.0869, -0.0206, 0.9960),
Player Position, (-0.1959, 1.8933, 0.0253), (-0.0870, -0.0125, 0.9961),
Player Position, (-0.1956, 1.8933, 0.0252), (-0.0866, -0.0126, 0.9962),
Player Position, (-0.1934, 1.8921, 0.0249), (-0.0839, -0.0240, 0.9962),
Player Position, (-0.1933, 1.8917, 0.0251), (-0.0856, -0.0263, 0.9960),
Player Position, (-0.1917, 1.8847, 0.0244), (-0.1185, -0.1075, 0.9871),
Player Position, (-0.1917, 1.8835, 0.0244), (-0.1264, -0.1224, 0.9844),
Player Position, (-0.1913, 1.8699, 0.0222), (-0.2200, -0.2650, 0.9388),
Player Position, (-0.1913, 1.8683, 0.0219), (-0.2350, -0.2801, 0.9308),
Player Position, (-0.1902, 1.8537, 0.0201), (-0.3544, -0.4157, 0.8376),
Player Position, (-0.1901, 1.8525, 0.0202), (-0.3688, -0.4253, 0.8265),
Player Position, (-0.1870, 1.8507, 0.0187), (-0.4885, -0.4278, 0.7605),
Player Position, (-0.1861, 1.8502, 0.0186), (-0.4963, -0.4309, 0.7537),
Player Position, (-0.1801, 1.8446, 0.0221), (-0.5535, -0.4667, 0.6898),
Player Position, (-0.1798, 1.8454, 0.0232), (-0.5699, -0.4566, 0.6832),
Player Position, (-0.1855, 1.8614, 0.0368), (-0.7550, -0.2894, 0.5884),
Player Position, (-0.1871, 1.8632, 0.0392), (-0.7757, -0.2662, 0.5722),
Player Position, (-0.2063, 1.8693, 0.0608), (-0.8893, -0.1449, 0.4337),
Player Position, (-0.2098, 1.8695, 0.0640), (-0.9000, -0.1330, 0.4150),
Player Position, (-0.2485, 1.8730, 0.0891), (-0.9589, -0.0444, 0.2801),
Player Position, (-0.2540, 1.8739, 0.0926), (-0.9613, -0.0353, 0.2732),
Player Position, (-0.2966, 1.8765, 0.1186), (-0.9730, 0.0140, 0.2305),
Player Position, (-0.3016, 1.8769, 0.1213), (-0.9745, 0.0187, 0.2234),
Player Position, (-0.3389, 1.8872, 0.1439), (-0.9876, 0.0267, 0.1549),
Player Position, (-0.3435, 1.8884, 0.1470), (-0.9890, 0.0266, 0.1452),
Player Position, (-0.3772, 1.8897, 0.1783), (-0.9982, 0.0220, 0.0558),
Player Position, (-0.3811, 1.8895, 0.1825), (-0.9989, 0.0207, 0.0417),
Player Position, (-0.4139, 1.9000, 0.2030), (-0.9985, 0.0282, -0.0478),
Player Position, (-0.4180, 1.9023, 0.2033), (-0.9980, 0.0301, -0.0553),
Player Position, (-0.4480, 1.9006, 0.1990), (-0.9947, 0.0551, -0.0869),
Player Position, (-0.4512, 1.9027, 0.1980), (-0.9947, 0.0555, -0.0863),
Player Position, (-0.4740, 1.9026, 0.1958), (-0.9958, 0.0578, -0.0705),
Player Position, (-0.4770, 1.9027, 0.1960), (-0.9959, 0.0599, -0.0676),
