East,
Player Position, (0.1222, 1.9663, 0.1627), (0.9911, 0.1296, 0.0300),
Player Position, (0.1229, 1.9663, 0.1660), (0.9894, 0.1386, 0.0429),
Player Position, (0.1252, 1.9664, 0.1675), (0.9898, 0.1374, 0.0374),
Player Position, (0.1296, 1.9627, 0.1681), (0.9958, 0.0870, 0.0302),
Player Position, (0.1312, 1.9588, 0.1675), (0.9991, 0.0344, 0.0235),
Player Position, (0.1311, 1.9530, 0.1658), (0.9992, -0.0373, 0.0140),
Player Position, (0.1352, 1.9420, 0.1637), (0.9867, -0.1618, -0.0141),
Player Position, (0.1449, 1.9160, 0.1692), (0.9166, -0.3991, -0.0256),
Player Position, (0.1545, 1.9024, 0.1770), (0.8602, -0.5092, 0.0282),
Player Position, (0.1555, 1.9010, 0.1758), (0.8521, -0.5208, 0.0520),
Player Position, (0.1468, 1.9045, 0.1729), (0.8664, -0.4964, 0.0549),
Player Position, (0.1402, 1.9188, 0.1792), (0.9213, -0.3687, 0.1235),
Player Position, (0.1396, 1.9330, 0.1753), (0.9500, -0.2679, 0.1603),
Player Position, (0.1395, 1.9527, 0.1534), (0.9907, -0.0785, 0.1110),
Player Position, (0.1298, 1.9662, 0.1365), (0.9965, 0.0764, 0.0338),
Player Position, (0.1216, 1.9730, 0.1344), (0.9836, 0.1692, 0.0631),
Player Position, (0.1232, 1.9663, 0.1418), (0.9724, 0.0878, 0.2162),
Player Position, (0.1281, 1.9568, 0.1568), (0.8212, -0.0070, 0.5706),
Player Position, (0.1221, 1.9482, 0.1814), (0.4878, -0.0492, 0.8716),
Player Position, (0.1022, 1.9499, 0.2194), (0.2026, -0.0394, 0.9785),
Player Position, (0.0831, 1.9459, 0.2478), (0.0307, -0.0346, 0.9989),
Player Position, (0.0854, 1.9425, 0.2646), (-0.0012, -0.0487, 0.9988),
Player Position, (0.1078, 1.9427, 0.2687), (0.0093, -0.0766, 0.9970),
Player Position, (0.1524, 1.9447, 0.2610), (0.0695, -0.1222, 0.9901),
Player Position, (0.1939, 1.9468, 0.2473), (0.1069, -0.1362, 0.9849),
Player Position, (0.2206, 1.9438, 0.2276), (0.1279, -0.1398, 0.9819),
Player Position, (0.2403, 1.9301, 0.2092), (0.2120, -0.1881, 0.9590),
Player Position, (0.2503, 1.9292, 0.1879), (0.4172, -0.1585, 0.8949),
Player Position, (0.2525, 1.9386, 0.1705), (0.6818, -0.0681, 0.7284),
Player Position, (0.2402, 1.9439, 0.1718), (0.8556, -0.0726, 0.5126),
Player Position, (0.2231, 1.9286, 0.1999), (0.8220, -0.2458, 0.5138),
Player Position, (0.2015, 1.9179, 0.2314), (0.6760, -0.3513, 0.6478),
Player Position, (0.1831, 1.9018, 0.2539), (0.5207, -0.4824, 0.7044),
Player Position, (0.1687, 1.8989, 0.2654), (0.4557, -0.4981, 0.7377),
Player Position, (0.1600, 1.9005, 0.2702), (0.5282, -0.4673, 0.7090),
Player Position, (0.1607, 1.9104, 0.2670), (0.7304, -0.3488, 0.5873),
Player Position, (0.1695, 1.9115, 0.2509), (0.8839, -0.3212, 0.3400),
Player Position, (0.1802, 1.9006, 0.2282), (0.9066, -0.4059, 0.1158),
Player Position, (0.1972, 1.8990, 0.1971), (0.8957, -0.4435, -0.0315),
Player Position, (0.2167, 1.9087, 0.1693), (0.8993, -0.4246, -0.1049),
Player Position, (0.2247, 1.9167, 0.1598), (0.9229, -0.3839, -0.0293),
Player Position, (0.2133, 1.9326, 0.1741), (0.9354, -0.2656, 0.2334),
Player Position, (0.1866, 1.9415, 0.1956), (0.8039, -0.1767, 0.5679),
Player Position, (0.1534, 1.9415, 0.2161), (0.5017, -0.1593, 0.8502),
Player Position, (0.1266, 1.9379, 0.2328), (0.2114, -0.1770, 0.9612),
Player Position, (0.1184, 1.9311, 0.2549), (0.1197, -0.2146, 0.9693),
Player Position, (0.1203, 1.9254, 0.2846), (0.0939, -0.2163, 0.9718),
Player Position, (0.1370, 1.9100, 0.3160), (0.1323, -0.3360, 0.9325),
Player Position, (0.1611, 1.8959, 0.3467), (0.1425, -0.4770, 0.8673),
Player Position, (0.1883, 1.8988, 0.3732), (0.0473, -0.4830, 0.8744),
Player Position, (0.2283, 1.8974, 0.3877), (-0.0174, -0.5036, 0.8638),
Player Position, (0.2596, 1.9106, 0.3908), (-0.0362, -0.3718, 0.9276),
Player Position, (0.2634, 1.9245, 0.3780), (-0.0401, -0.2819, 0.9586),
Player Position, (0.2508, 1.9322, 0.3683), (-0.0480, -0.2558, 0.9655),
Player Position, (0.2412, 1.9316, 0.3678), (-0.0405, -0.2639, 0.9637),
Player Position, (0.2361, 1.9327, 0.3643), (-0.0385, -0.2554, 0.9661),
Player Position, (0.2332, 1.9377, 0.3519), (-0.0335, -0.2044, 0.9783),
Player Position, (0.2311, 1.9393, 0.3413), (-0.0238, -0.1501, 0.9884),
Player Position, (0.2284, 1.9372, 0.3356), (0.0192, -0.1461, 0.9891),
Player Position, (0.2219, 1.9358, 0.3278), (0.0483, -0.1453, 0.9882),
Player Position, (0.2167, 1.9339, 0.3209), (0.0485, -0.1387, 0.9891),
Player Position, (0.2166, 1.9358, 0.3175), (0.0932, -0.1063, 0.9900),
Player Position, (0.2136, 1.9380, 0.3159), (0.1417, -0.0722, 0.9873),
Player Position, (0.2029, 1.9432, 0.3116), (0.1436, -0.0048, 0.9896),
Player Position, (0.1825, 1.9415, 0.3138), (-0.0184, -0.0412, 0.9990),
Player Position, (0.1576, 1.9410, 0.3178), (-0.0678, -0.0573, 0.9961),
Player Position, (0.1366, 1.9328, 0.3370), (-0.0044, -0.0749, 0.9972),
Player Position, (0.1254, 1.9310, 0.3745), (0.0757, -0.0967, 0.9924),
Player Position, (0.1119, 1.9247, 0.4400), (0.0975, -0.0952, 0.9907),
Player Position, (0.1138, 1.9277, 0.5088), (0.0884, -0.0911, 0.9919),
Player Position, (0.1207, 1.9360, 0.5644), (0.1568, -0.0521, 0.9863),
Player Position, (0.1146, 1.9254, 0.6065), (0.2249, -0.1167, 0.9674),
Player Position, (0.0905, 1.9308, 0.6450), (0.2123, -0.0802, 0.9739),
Player Position, (0.0516, 1.9350, 0.6923), (0.2015, -0.0275, 0.9791),
Player Position, (0.0069, 1.9378, 0.7365), (0.2910, -0.0238, 0.9564),
Player Position, (-0.0587, 1.9361, 0.7849), (0.4167, 0.0218, 0.9088),
Player Position, (-0.1223, 1.9227, 0.8418), (0.4565, 0.0405, 0.8888),
Player Position, (-0.1519, 1.9065, 0.8928), (0.5088, -0.0008, 0.8609),
Player Position, (-0.1557, 1.9018, 0.9187), (0.5855, -0.0144, 0.8106),
Player Position, (-0.1519, 1.9022, 0.9259), (0.6100, -0.0193, 0.7922),
Player Position, (-0.1367, 1.9054, 0.9238), (0.6094, -0.0312, 0.7923),
Player Position, (-0.1026, 1.9116, 0.9096), (0.6035, -0.0659, 0.7946),
Player Position, (-0.0524, 1.9220, 0.8782), (0.6162, -0.0751, 0.7840),
Player Position, (0.0198, 1.9284, 0.8290), (0.5862, -0.0928, 0.8048),
Player Position, (0.0995, 1.9402, 0.7818), (0.4399, -0.1159, 0.8905),
Player Position, (0.1804, 1.9444, 0.7505), (0.2264, -0.0648, 0.9719),
Player Position, (0.2547, 1.9485, 0.7308), (0.0652, 0.0096, 0.9978),
Player Position, (0.2933, 1.9452, 0.7184), (-0.0038, 0.0118, 0.9999),
Player Position, (0.3040, 1.9392, 0.7110), (0.0210, -0.0056, 0.9998),
Player Position, (0.2848, 1.9358, 0.7058), (-0.0156, -0.0913, 0.9957),
Player Position, (0.2712, 1.9338, 0.7090), (-0.1102, -0.1106, 0.9877),
Player Position, (0.2726, 1.9260, 0.7165), (-0.1245, -0.1597, 0.9793),
Player Position, (0.2686, 1.9246, 0.7121), (-0.0848, -0.1752, 0.9809),
Player Position, (0.2634, 1.9193, 0.7097), (-0.0597, -0.2077, 0.9764),
Player Position, (0.2585, 1.9081, 0.7135), (-0.0480, -0.3205, 0.9460),
Player Position, (0.2532, 1.9084, 0.7166), (-0.0606, -0.3093, 0.9490),
Player Position, (0.2430, 1.9088, 0.7176), (-0.0858, -0.3019, 0.9495),
Player Position, (0.2231, 1.9159, 0.7089), (-0.0414, -0.2714, 0.9616),
Player Position, (0.1867, 1.9341, 0.7011), (0.0332, -0.1998, 0.9793),
Player Position, (0.1494, 1.9447, 0.7046), (0.1096, -0.1194, 0.9868),
Player Position, (0.1303, 1.9305, 0.7265), (0.1755, -0.1077, 0.9786),
Player Position, (0.1361, 1.9327, 0.7589), (0.2194, -0.1285, 0.9671),
Player Position, (0.1558, 1.9372, 0.8015), (0.1854, -0.0975, 0.9778),
Player Position, (0.1887, 1.9417, 0.8340), (0.0896, -0.0538, 0.9945),
Player Position, (0.2093, 1.9436, 0.8577), (0.0155, -0.0380, 0.9992),
Player Position, (0.2102, 1.9475, 0.8788), (-0.0116, -0.0158, 0.9998),
Player Position, (0.2055, 1.9550, 0.8981), (0.0223, -0.0212, 0.9995),
Player Position, (0.2019, 1.9550, 0.9133), (0.0362, -0.0219, 0.9991),
Player Position, (0.1975, 1.9503, 0.9254), (0.0514, -0.0673, 0.9964),
Player Position, (0.1906, 1.9505, 0.9319), (0.0444, -0.0711, 0.9965),
Player Position, (0.1856, 1.9474, 0.9385), (0.0859, -0.1001, 0.9913),
Player Position, (0.1800, 1.9443, 0.9422), (0.1127, -0.1162, 0.9868),
Player Position, (0.1723, 1.9409, 0.9407), (0.1480, -0.1469, 0.9780),
Player Position, (0.1553, 1.9401, 0.9361), (0.1769, -0.1243, 0.9763),
Player Position, (0.1437, 1.9312, 0.9373), (0.1875, -0.1246, 0.9743),
Player Position, (0.1448, 1.9335, 0.9378), (0.1938, -0.1260, 0.9729),
Player Position, (0.1586, 1.9381, 0.9415), (0.1764, -0.1017, 0.9791),
Player Position, (0.1802, 1.9460, 0.9452), (0.1561, -0.0757, 0.9848),
Player Position, (0.2009, 1.9457, 0.9501), (0.1201, -0.0829, 0.9893),
Player Position, (0.2146, 1.9436, 0.9514), (0.0718, -0.1020, 0.9922),
Player Position, (0.2158, 1.9433, 0.9427), (0.0558, -0.1211, 0.9911),
Player Position, (0.1990, 1.9466, 0.9280), (0.0870, -0.1155, 0.9895),
Player Position, (0.1815, 1.9407, 0.9214), (0.1621, -0.1309, 0.9781),
Player Position, (0.1789, 1.9369, 0.9129), (0.1701, -0.1714, 0.9704),
Player Position, (0.1893, 1.9430, 0.9028), (0.1007, -0.1137, 0.9884),
Player Position, (0.2044, 1.9421, 0.9058), (0.0170, 0.0456, 0.9988),
Player Position, (0.2077, 1.9510, 0.9293), (-0.0627, 0.1146, 0.9914),
Player Position, (0.1976, 1.9504, 0.9591), (-0.0066, 0.0422, 0.9991),
Player Position, (0.1920, 1.9407, 0.9871), (0.0727, -0.0900, 0.9933),
Player Position, (0.1980, 1.9400, 1.0149), (0.1068, -0.1313, 0.9856),
Player Position, (0.2089, 1.9447, 1.0378), (0.0599, -0.1325, 0.9894),
Player Position, (0.2132, 1.9487, 1.0563), (0.0031, -0.0984, 0.9951),
Collect the Capsule,
Position: (-0.1500, 1.5000, 0.6500),
Player Position, (0.2130, 1.9491, 1.0741), (-0.0274, -0.0917, 0.9954),
Player Position, (0.2090, 1.9492, 1.0905), (-0.0307, -0.1002, 0.9945),
Player Position, (0.2057, 1.9469, 1.0997), (-0.0150, -0.1188, 0.9928),
Player Position, (0.2025, 1.9468, 1.1002), (0.0003, -0.1143, 0.9934),
Player Position, (0.1987, 1.9456, 1.1018), (-0.0005, -0.1197, 0.9928),
Player Position, (0.1976, 1.9452, 1.1058), (0.0187, -0.1204, 0.9925),
Player Position, (0.1931, 1.9429, 1.1079), (0.0024, -0.1369, 0.9906),
Player Position, (0.1872, 1.9429, 1.1022), (-0.0494, -0.1308, 0.9902),
Player Position, (0.1725, 1.9447, 1.0914), (-0.2023, -0.1040, 0.9738),
Player Position, (0.1466, 1.9436, 1.0698), (-0.5498, -0.1110, 0.8279),
